2019-03-14 14:18:29,185 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-14 16:58:21,340 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-14 16:58:29,049 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-14 17:29:01,806 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-21 14:12:33,258 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-21 14:16:13,626 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-21 15:45:06,695 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @5339529ms to org.eclipse.jetty.util.log.Slf4jLog
2019-03-21 15:45:07,516 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.8.v20171121, build timestamp: 2017-11-21T16:27:37-05:00, git hash: 82b8fb23f757335bb3329d540ce37a2a2615f0a8
2019-03-21 15:45:07,534 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2019-03-21 15:45:07,535 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2019-03-21 15:45:07,535 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2019-03-21 15:45:07,554 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5320affc{/help,null,AVAILABLE}
2019-03-21 15:45:07,576 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@5f197ae6{HTTP/1.1,[http/1.1]}{127.0.0.1:5071}
2019-03-21 15:45:07,576 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @5340410ms
2019-03-21 16:40:45,253 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@5f197ae6{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2019-03-21 16:40:45,255 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2019-03-21 16:40:45,314 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5320affc{/help,null,UNAVAILABLE}
2019-03-21 16:40:56,600 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-21 16:51:24,687 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-25 19:58:02,112 [Worker-1: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-03-25 20:16:44,831 [Worker-5: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-03-31 14:33:16,755 [Worker-6: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-03-31 16:16:08,047 [Worker-3: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
